Link;Number;Name;Date;Time
https://indico.cern.ch/event/1106990/contributions/4991253/;12;A comparison of HEPSPEC benchmark performance on ATLAS Grid-Sites versus ideal conditions;24/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4991260/;32;A FPGA Implementation of the Hough Transform tracking algorithm for the Phase-II upgrade of ATLAS;24/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4991255/;17;AI Data Quality Monitoring with Hydra;24/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4991228/;9;Applications of supercomputer Tianhe-II in BESIII;24/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4996225/;18;AtlFast3: Fast Simulation in ATLAS for Run 3 and beyond;24/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4996209/;4;CMS Tracker Alignment: Legacy results from LHC Run 2 and first results from Run 3;24/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/5007271/;25;Data Calibration and Processing at Belle II;24/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4991257/;19;Design and  implementation of computational storage system based on EOS for HEP data processing;24/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4996237/;57;Evaluating Generative Adversarial Networks for particle hit generation in a cylindrical drift chamber using Fréchet Inception Distance;24/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4996231/;34;Fast track seed selection for track following in the Inner Detector Trigger track reconstruction;24/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4996226/;21;Flexible Event Data Model for track reconstruction in ACTS and integration with ATLAS xAOD;24/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4996223/;14;Improved Selective Background Monte Carlo Simulation at Belle II with Graph Attention Networks and Weighted Events;24/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4991225/;2;Machine Learning for Real-Time Processing of ATLAS Liquid Argon Calorimeter Signals with FPGAs;24/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4996230/;31;Machine Learning Techniques for selecting Forward Electrons ($|\eta\lt3.2|)$ with the ATLAS High Level Trigger;24/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4996232/;35;Parametrized simulation of the micro-RWELL response with PARSIFAL software;24/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4991258/;30;Transparent expansion of a WLCG compute site using HPC resources;24/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4998016/;67;A Deep Learning based algorithm for PID study with cluster counting;24/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4991270/;49;A distributed infrastructure for interactive analysis: the experience at INFN;24/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4996235/;42;A graph neural network for B decays reconstruction at Belle II;24/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4991283/;74;Commissioning CMS online reconstruction with GPUs;24/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4991263/;43;Custom event sample augmentations for ATLAS analysis data;24/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4991266/;46;Enabling continuous speedup of CMS Event Reconstruction through continuous benchmarking;24/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4991272/;50;Enhanced Data Analytics capabilities in the ELK Stack - a review of the premium features and their benefit to a Scientific Compute Facility;24/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4991277/;64;Evolution of the CMS Submission Infrastructure to support heterogeneous resources in the LHC Run 3;24/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4997122/;59;Faster simulated track reconstruction in the ATLAS Fast Chain;24/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/5007272/;38;Monitoring CMS experiment data and infrastructure for next generation of LHC run;24/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4998026/;75;Progress towards an improved particle flow algorithm at CMS with machine learning;24/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4991274/;53;Recent Developments in the FullSimLight Simulation Tool from ATLAS;24/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4991268/;47;Secrets Management for CMSWEB;24/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4991281/;65;Stability of the CMS Submission Infrastructure for the LHC Run 3;24/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4998015/;63;The adaptation of a deep learning model to locating primary vertices in the CMS and ATLAS experiments;24/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4991261/;39;Transparent extension of INFN-T1 with heterogeneous computing architectures;24/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4998059/;117;Analysis of spectroscopy data with Machine Learning;25/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4998071/;122;Application of Machine Learning to Particle Identification at the BESIII experiment;25/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4991321/;108;Application of Unity for detector modeling in BESIII;25/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4998060/;119;Automatic differentiation of binned likelihoods with RooFit and Clad;25/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4991314/;105;CERNLIB status;25/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4998091/;140;CMS tracking performance in Run 2 and early Run 3 data using the tag-and-probe technique;25/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4991329/;134;Continuous Integration for the FairRoot Software Stack;25/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4991322/;128;Data Management interfaces for CMS experiment: building an improved user experience;25/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4998072/;123;Data Quality Monitoring for the JUNO Experiment;25/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4991328/;131;Exploring the use of accelerators for lossless data compression in CMS;25/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4998089/;139;General shower simulation MetaHEP in key4hep framework;25/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4991320/;107;HDTFS：Cost-effective Hadoop Distributed & Tiered File System for High Energy Physics;25/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4998058/;114;Improving robustness of jet tagging algorithms with adversarial training;25/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4998057/;113;ML-based discrimination of same sign WW VBS processes at CMS with hadronic tau in final state;25/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4998070/;121;Preliminary Results of Vectorization of Density Functional Theory calculations in Geant4/V for amino acids;25/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4998036/;106;Variational AutoEncoders for Anomaly Detection in VBS events within an EFT framework;25/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4991288/;88;Awkward Arrays to RDataFrame and back;25/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4998031/;85;Comparing and improving hybrid deep learning algorithms for identifying and locating primary vertices;25/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4991312/;102;Distributed data processing pipelines in ALFA;25/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4998027/;79;Event Display Development for Mu2e using Eve-7;25/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4991305/;91;Experience in SYCL/oneAPI for event reconstruction at the CMS experiment;25/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4991308/;95;Implementation of generic SoA data structure in the CMS software;25/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4998033/;93;JETFLOW: Generating jets with Normalizing Flows using the jet mass as condition and constraint;25/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4998186/;80;Machine learning techniques for data quality monitoring at the CMS detector;25/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4998032/;87;Machine learning-based vertex reconstruction for reactor neutrinos in JUNO;25/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4998185/;84;Particle Flow Reconstruction on Heterogeneous Architecture for CMS;25/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4991310/;100;Supporting multiple hardware architectures at CMS: the integration and validation of Power9;25/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4991313/;103;The CMS Roadmap towards HL-LHC Software and Computing;25/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4998034/;104;The Level-1 Global Trigger for Phase-2: Algorithms, configuration and integration in the CMS offline framework;25/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4991286/;81;Trigger Rate Monitoring Tools at CMS;25/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4991311/;101;Updates on the Low-Level Abstraction of Memory Access;25/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4991307/;94;XRootD caching for Belle II;25/10/2022;11:15
https://indico.cern.ch/event/1106990/contributions/4991346/;186;Advancing Opportunistic Resource Management via Simulation;26/10/2022;11:00
https://indico.cern.ch/event/1106990/contributions/4998095/;147;AI/ML for PID in the Charged Pion Polarizability Experiment at Jefferson Lab};26/10/2022;11:00
